,MI_dir_L.1_weight,MI_dir_L.1_mean,MI_dir_L.1_variance,H_L.1_weight,H_L.1_mean,H_L.1_variance,HH_L.1_mean,HH_L.1_std,HH_L.1_magnitude,HH_L.1_radius,HH_L.1_covariance,HH_L.1_pcc,HH_jit_L.1_weight,HH_jit_L.1_mean,HH_jit_L.1_variance,HpHp_L.1_weight,HpHp_L.1_mean,HpHp_L.1_std,HpHp_L.1_magnitude,HpHp_L.1_radius,HpHp_L.1_covariance,HpHp_L.1_pcc,HH_L.1_weight
,1,6,,1,6,,6,,6,,,,1,155657393,,1,6,,6,,,,1
1,1,59,,4.456898714,443.1972581,14856.3496,443.1972581,121.8853353,443.1972581,14856.3496,,,4.456898714,48.5885275,61286.81,4.456898714,443.1972581,121.8853353,443.1972581,14856.3496,,,4.456898714
2,1.99991243,59,5.82E-01,5.45656699,47.11424,15359.17835,47.11424,123.9321522,47.11424,15359.17835,,,5.45656699,39.6857751,5896.5534,5.45656699,47.11424,123.9321522,47.11424,15359.17835,,,5.45656699
3,1,6,,1,6,,6,,417.866253,62386.33772,,,1,155657395,,1,6,,6,,,,1
4,1.99997785,66.6874,36,1.99997785,66.6874,36,66.6874,6,331.2786921,7224.87788,-531.3194453,-0.334163486,1.99997785,7528271.8,5.67E+02,1,72,,72,,,,1.99997785
5,2.993812399,74.165815,152.16466,2.993812399,74.165815,152.16466,9,,9,,,,1,155657395,,1,9,,9,,,,1
6,1,9,,1,9,,9,,9,,,,1,155657397,,1,9,,9,,,,1
7,3.936491129,75.285161,116.473275,3.936491129,75.285161,116.473275,7.6831,7.48759748,299.19393,66.43289,-861.117231,-0.467153918,2.95563779,498113594.7,5.20E+01,1,78,,78,,,,2.95563779
8,4.9313476,75.631823,94.28157233,4.9313476,75.631823,94.28157233,72.693192,7.33396112,273.278789,5388.32721,-158.16875,-0.621496929,3.951743112,37264511.9,4.22E+02,1,78,,78,,,,3.951743112
9,5.929922973,76.356599,79.1694194,5.929922973,76.356599,79.1694194,73.26726874,6.9779477,249.8692979,4969.922,-1139.931776,-0.73422785,4.95636353,29699625.7,3.59E+02,1,78,,78,,,,4.95636353
1,6.928769489,73.71694219,99.4787528,6.928769489,73.71694219,99.4787528,6,,6,,,,1,155657398,,1,6,,6,,,,1
11,7.928768962,71.9869251,17.669828,7.928768962,71.9869251,17.669828,6,,6,,,,1,155657398,,1,6,,6,,,,1
12,8.928768844,7.6444151,19.912588,8.928768844,7.6444151,19.912588,6,,6,,,,1,155657398,,1,6,,6,,,,1
13,9.8475153,7.98518562,99.76778958,9.8475153,7.98518562,99.76778958,74,,74,,,,1,155657399,,1,74,,74,,,,1
14,1.8276463,69.9699967,1.6692424,1.8276463,69.9699967,1.6692424,6,,6,,,,1.98822685,748361671.7,5.67E+02,1,6,,6,,,,1.98822685
15,11.827642,69.1265636,99.8555411,11.827642,69.1265636,99.8555411,6,6.74E-01,86.27861844,4.55E-01,,,1.98822719,748361684.8,5.67E+02,1,6,,6,,,,1.98822719
16,12.8276361,68.4147258,98.5243476,12.8276361,68.4147258,98.5243476,6,,86.27861844,,,,1.9882267,748361666.1,5.67E+02,1,6,,6,,,,1.9882267
17,13.8276291,69.9765474,122.235983,13.8276291,69.9765474,122.235983,7.394861,14.1563219,7.394861,2.3932473,,,2.98822396,497922922.1,5.20E+01,1.999999855,75.19,15,75.19,225,,,2.98822396
18,14.8276138,71.32754837,139.21641,14.8276138,71.32754837,139.21641,7.394886,14.1563228,93.53891639,2.3932498,,,2.98822322,497922924.5,5.20E+01,1.9999998,75.15,15,75.15,225,,,2.98822322
19,15.826992,72.57829,151.566126,15.826992,72.57829,151.566126,7.395889,14.156421,93.53893738,2.393528,,,2.988193976,497922212.7,5.20E+01,1.999995627,75.328,15,75.328,225,,,2.988193976
2,16.81678286,72.128226,144.442772,16.81678286,72.128226,144.442772,69.99414977,3.999995722,11.8586324,15.99996577,,,1.99779159,751727645.3,5.67E+02,1.99779159,69.99414977,3.999995722,11.8586324,15.99996577,,,1.99779159
21,17.81466524,76.49245334,457.6827117,17.81466524,76.49245334,457.6827117,96.6999682,37.86612341,121.7585679,1433.84332,,,2.996827681,5886514.2,5.30E+01,2.996827681,96.6999682,37.86612341,121.7585679,1433.84332,,,2.996827681
22,18.8128478,75.61579428,447.442398,18.8128478,75.61579428,447.442398,6,,6,,,,1,1556574,,1,6,,6,,,,1
